masterid,year,crop,volume_m3,area_m2,depth_m,system
null_geo9,1996,2,110717.1648,578700.98,0.191320615,3
null_geo9,1996,2,128010.5544,485623.2,0.2636012,3
sheridan,1996,24,138433.4604,501810.64,0.275868581,3
sheridan,1996,2,90142.7184,485623.2,0.1856232,3
sheridan,1996,6,133548.8796,538232.38,0.248125534,3
sheridan,1996,2,169887.2004,566560.4,0.299857886,4
null_geo9,1996,2,155245.7928,477529.48,0.32510278,3
sheridan,1996,24,119104.8288,493716.92,0.241241705,3
null_geo9,1996,2,173747.9928,485623.2,0.3577844,3
null_geo9,1996,2,176881.032,424920.3,0.416269714,3
null_geo9,1996,2,542.7312,32374.88,0.016764,1
sheridan,1996,2,178040.5032,501810.64,0.354797032,3
null_geo9,1996,2,162979.7124,493716.92,0.330108393,3
null_geo9,1996,25,284341.8096,979340.12,0.290340893,3
null_geo9,1996,2,231413.1828,987433.84,0.234358721,3
sheridan,1996,-99,0,0,0,-99
sheridan,1996,2,156281.916,497763.78,0.31396878,3
sheridan,1996,2,121152.4056,485623.2,0.2494788,4
sheridan,1996,2,271871.3268,546326.1,0.4976368,3
sheridan,1996,2,116058.1332,412779.72,0.281163059,1
null_geo9,1996,2,407800.8228,979340.12,0.416404661,3
sheridan,1996,2,51386.7768,566560.4,0.090699771,3
null_geo9,1996,24,299809.6488,951012.1,0.315253991,4
null_geo9,1996,26,289584.0996,598935.28,0.483499297,4
sheridan,1996,2,33538.3212,121405.8,0.2762504,1
sheridan,1996,2,230660.76,991480.7,0.232643265,4
sheridan,1996,2,88822.8948,530138.66,0.167546931,2
sheridan,1996,2,137150.6412,546326.1,0.251042311,3
sheridan,1996,2,175437.8604,465388.9,0.376971339,1
sheridan,1996,25,134461.6548,619169.58,0.21716502,1
null_geo9,1996,2,179199.9744,368264.26,0.486608176,3
null_geo9,1996,1,85689.8556,485623.2,0.1764538,3
sheridan,1996,2,156491.6076,501810.64,0.311854645,3
null_geo9,1996,2,153950.6388,477529.48,0.322390576,3
null_geo9,1996,2,185786.7576,493716.92,0.376303082,4
sheridan,1996,2,185330.37,522044.94,0.355009302,6
null_geo9,1996,2,127036.1052,485623.2,0.2615946,3
null_geo9,1996,2,243279.2604,870074.9,0.279607926,4
sheridan,1996,2,163534.7784,534185.52,0.306139273,3
null_geo9,1996,2,255515.382,647497.6,0.39462075,1
sheridan,1996,2,149448.4368,485623.2,0.3077464,3
null_geo9,1996,2,274733.0004,971246.4,0.2828671,3
null_geo9,1996,2,150398.2164,505857.5,0.297314112,3
sheridan,1996,-99,0,0,0,-99
null_geo9,1996,3,121152.4056,303514.5,0.39916608,1
null_geo9,1996,2,227503.0512,708200.5,0.321241783,4
null_geo9,1996,2,473310.9456,987433.84,0.479335475,3
null_geo9,1996,3,152384.1192,517998.08,0.294179625,4
null_geo9,1996,2,104475.756,485623.2,0.215138,4
sheridan,1996,18,135991.17,404686,0.336042,3
sheridan,1996,2,162646.6728,453248.32,0.358847571,4
sheridan,1996,2,122768.2644,505857.5,0.242693952,6
null_geo9,1996,2,205547.1072,465388.9,0.441668452,4
sheridan,1996,2,99369.1488,465388.9,0.213519026,4
sheridan,1996,25,139000.8612,509904.36,0.272602476,1
null_geo9,1996,1,138186.7644,485623.2,0.2845562,3
sheridan,1996,23,287314.4964,607029,0.47331376,4
null_geo9,1996,2,155998.2156,493716.92,0.315967672,3
sheridan,1996,2,274251.9432,505857.5,0.542153856,4
null_geo9,1996,2,131908.3512,465388.9,0.283437496,3
sheridan,1996,16,262459.8744,493716.92,0.53160118,1
sheridan,1996,2,173229.9312,493716.92,0.35086977,3
sheridan,1996,2,167876.628,663685.04,0.252946829,6
sheridan,1996,2,152655.4848,457295.18,0.333823434,3
sheridan,1996,2,147178.8336,493716.92,0.298104393,3
null_geo9,1996,-99,0,0,0,-99
sheridan,1996,24,186403.4976,501810.64,0.37146271,3
sheridan,1996,2,216796.4448,586794.7,0.369459641,6
null_geo9,1996,5,65954.1756,485623.2,0.1358138,3
null_geo9,1996,2,273067.8024,890309.2,0.306711927,3
sheridan,1996,25,135251.082,987433.84,0.136972623,4
null_geo9,1996,2,160253.7216,809372,0.19799808,6
null_geo9,1996,2,186021.1188,485623.2,0.3830574,3
sheridan,1996,2,182875.7448,485623.2,0.3765804,3
sheridan,1996,2,131982.36,424920.3,0.310605714,4
null_geo9,1996,2,170343.588,809372,0.2104644,3
null_geo9,1996,2,175154.16,971246.4,0.18034,4
sheridan,1996,2,226355.9148,465388.9,0.486381287,4
null_geo9,1996,2,189006.1404,477529.48,0.395800881,3
sheridan,1996,2,140246.676,485623.2,0.288798,3
sheridan,1996,2,125913.6384,404686,0.31113984,3
null_geo9,1996,2,195987.6372,485623.2,0.4035806,3
sheridan,1996,16,162399.9768,586794.7,0.2767584,3
null_geo9,1996,2,189696.8892,493716.92,0.384222885,3
sheridan,1996,16,401189.37,631310.16,0.635488462,1
sheridan,1996,2,230660.76,485623.2,0.47498,6
sheridan,1996,23,191127.726,647497.6,0.29517975,1
null_geo9,1996,2,332028.1464,979340.12,0.339033322,3
sheridan,1996,24,295258.1076,728434.8,0.4053332,1
null_geo9,1996,2,189881.9112,501810.64,0.378394452,3
null_geo9,1996,2,176745.3492,485623.2,0.3639566,3
null_geo9,1996,2,244229.04,971246.4,0.25146,4
sheridan,1996,2,84900.4284,485623.2,0.1748282,4
null_geo9,1996,2,87219.3708,485623.2,0.1796034,3
null_geo9,1996,2,102206.1528,505857.5,0.202045824,3
sheridan,1996,2,100503.9504,481576.34,0.208698353,6
sheridan,1996,2,205633.4508,497763.78,0.413115512,4
null_geo9,1996,2,248817.5856,987433.84,0.251984656,3
null_geo9,1996,2,101244.0384,364217.4,0.2779776,3
null_geo9,1996,2,241379.7012,485623.2,0.4970526,3
sheridan,1996,23,197936.5356,513951.22,0.385128,1
sheridan,1996,18,163534.7784,493716.92,0.331232656,3
sheridan,1996,2,153309.2292,493716.92,0.310521246,3
sheridan,1996,2,212355.9168,424920.3,0.499755886,3
sheridan,1996,2,288905.6856,768903.4,0.375738189,1
sheridan,1996,2,128294.2548,667731.9,0.192134836,3
sheridan,1996,17,47032.5924,242811.6,0.1937004,3
null_geo9,1996,24,285747.9768,971246.4,0.2942082,3
sheridan,1996,2,168333.0156,497763.78,0.338179317,3
null_geo9,1996,2,179310.9876,870074.9,0.20608733,3
sheridan,1996,23,287314.4964,607029,0.47331376,6
null_geo9,1996,2,124482.8016,485623.2,0.2563368,3
sheridan,1996,2,185256.3612,493716.92,0.375228787,3
sheridan,1996,2,110692.4952,493716.92,0.224202885,4
sheridan,1996,2,179878.3884,505857.5,0.355591872,3
null_geo9,1996,2,150447.5556,505857.5,0.297411648,3
sheridan,1996,24,176202.618,526091.8,0.334928308,1
null_geo9,1996,2,133376.1924,505857.5,0.263664192,4
sheridan,1996,2,102206.1528,465388.9,0.219615026,4
null_geo9,1996,2,531987.5892,1011715,0.525828768,3
null_geo9,1996,2,165804.3816,485623.2,0.3414268,3
sheridan,1996,2,143651.0808,522044.94,0.275170605,3
sheridan,1997,2,199330.368,635357.02,0.313730446,6
null_geo9,1997,2,126555.048,493716.92,0.256331803,4
sheridan,1997,24,109705.7112,501810.64,0.218620258,3
sheridan,1997,24,199305.6984,546326.1,0.364811733,4
sheridan,1997,2,95755.0524,485623.2,0.1971802,3
sheridan,1997,2,184960.326,607029,0.3046984,4
sheridan,1997,2,187673.982,675825.62,0.277696527,4
null_geo9,1997,2,144465.1776,323748.8,0.4462272,1
sheridan,1997,2,194593.8048,485623.2,0.4007104,4
null_geo9,1997,2,143318.0412,477529.48,0.300124678,3
null_geo9,1997,24,257562.9588,1052183.6,0.244789569,3
null_geo9,1997,2,263421.9888,501810.64,0.524944258,3
